iter	Passed	Remaining
0	11	11485
1	22	11162
2	33	10968
3	43	10939
4	57	11369
5	69	11543
6	81	11625
7	94	11712
8	104	11529
9	114	11380
10	124	11224
11	134	11076
12	144	10983
13	154	10883
14	164	10783
15	174	10734
16	184	10675
17	195	10646
18	205	10602
19	216	10630
20	226	10562
21	236	10528
22	247	10492
23	256	10444
24	266	10404
25	276	10372
26	286	10329
27	296	10300
28	306	10262
29	316	10238
30	326	10217
31	336	10183
32	346	10152
33	356	10137
34	366	10103
35	377	10110
36	387	10090
37	397	10062
38	407	10039
39	417	10030
40	428	10032
41	438	10010
42	448	9985
43	459	9984
44	469	9969
45	479	9947
46	492	9985
47	504	10010
48	514	9984
49	524	9960
50	533	9932
51	544	9920
52	554	9901
53	564	9881
54	573	9858
55	583	9833
56	593	9812
57	603	9795
58	613	9777
59	622	9758
60	632	9733
61	642	9727
62	653	9714
63	663	9697
64	673	9681
65	682	9664
66	692	9642
67	702	9635
68	712	9614
69	722	9593
70	732	9581
71	742	9571
72	752	9554
73	762	9535
74	771	9513
75	780	9491
76	790	9471
77	799	9451
78	809	9432
79	818	9414
80	827	9391
81	837	9380
82	848	9375
83	859	9372
84	869	9356
85	879	9343
86	888	9327
87	899	9319
88	909	9308
89	919	9295
90	929	9279
91	938	9266
92	949	9257
93	958	9240
94	968	9225
95	978	9213
96	988	9204
97	999	9195
98	1009	9189
99	1020	9183
100	1033	9202
101	1044	9192
102	1055	9195
103	1065	9181
104	1075	9170
105	1085	9158
106	1096	9149
107	1106	9142
108	1117	9131
109	1128	9126
110	1138	9116
111	1147	9098
112	1158	9090
113	1167	9074
114	1176	9055
115	1187	9046
116	1197	9039
117	1207	9028
118	1218	9018
119	1228	9012
120	1240	9015
121	1251	9006
122	1261	8995
123	1271	8983
124	1281	8970
125	1290	8954
126	1300	8939
127	1309	8922
128	1319	8911
129	1329	8897
130	1339	8886
131	1349	8873
132	1359	8863
133	1369	8851
134	1379	8841
135	1390	8830
136	1399	8818
137	1410	8808
138	1420	8796
139	1429	8780
140	1439	8767
141	1448	8754
142	1458	8741
143	1468	8730
144	1478	8720
145	1489	8712
146	1502	8718
147	1513	8710
148	1522	8698
149	1533	8687
150	1542	8672
151	1552	8659
152	1563	8652
153	1574	8648
154	1585	8642
155	1594	8628
156	1604	8617
157	1615	8611
158	1629	8617
159	1638	8604
160	1648	8592
161	1658	8579
162	1668	8569
163	1678	8557
164	1688	8545
165	1698	8534
166	1708	8523
167	1718	8513
168	1729	8502
169	1738	8490
170	1748	8477
171	1759	8468
172	1768	8454
173	1778	8442
174	1788	8431
175	1798	8420
176	1808	8409
177	1818	8399
178	1828	8386
179	1838	8376
180	1849	8368
181	1860	8360
182	1870	8352
183	1880	8341
184	1890	8329
185	1900	8319
186	1910	8307
187	1920	8295
188	1930	8285
189	1940	8271
190	1950	8260
191	1959	8247
192	1970	8239
193	1980	8228
194	1990	8216
195	2000	8204
196	2010	8193
197	2020	8182
198	2029	8170
199	2040	8160
200	2050	8150
201	2061	8142
202	2071	8131
203	2081	8120
204	2091	8110
205	2101	8098
206	2110	8085
207	2120	8073
208	2130	8061
209	2139	8048
210	2149	8037
211	2159	8027
212	2169	8014
213	2180	8009
214	2190	7999
215	2202	7993
216	2212	7981
217	2222	7972
218	2231	7959
219	2242	7951
220	2255	7950
221	2267	7944
222	2277	7934
223	2287	7926
224	2298	7917
225	2308	7906
226	2319	7897
227	2329	7888
228	2340	7879
229	2350	7867
230	2360	7858
231	2370	7848
232	2380	7836
233	2391	7827
234	2401	7818
235	2411	7806
236	2421	7796
237	2433	7791
238	2444	7783
239	2454	7771
240	2463	7759
241	2473	7748
242	2483	7735
243	2493	7725
244	2503	7713
245	2512	7702
246	2522	7689
247	2532	7677
248	2541	7666
249	2551	7655
250	2561	7643
251	2571	7632
252	2581	7620
253	2590	7608
254	2600	7597
255	2609	7585
256	2620	7576
257	2630	7565
258	2640	7553
259	2649	7541
260	2659	7529
261	2668	7516
262	2678	7506
263	2688	7495
264	2698	7484
265	2710	7478
266	2719	7465
267	2728	7453
268	2739	7443
269	2749	7433
270	2758	7421
271	2768	7409
272	2778	7398
273	2787	7386
274	2797	7375
275	2807	7363
276	2816	7352
277	2826	7340
278	2835	7328
279	2846	7320
280	2857	7310
281	2867	7300
282	2877	7290
283	2888	7282
284	2898	7272
285	2909	7263
286	2919	7252
287	2930	7244
288	2940	7233
289	2950	7223
290	2960	7212
291	2971	7205
292	2982	7196
293	2993	7189
294	3005	7181
295	3014	7170
296	3027	7165
297	3037	7155
298	3047	7143
299	3056	7132
300	3066	7122
301	3077	7112
302	3088	7105
303	3099	7097
304	3110	7088
305	3120	7078
306	3131	7068
307	3142	7060
308	3152	7050
309	3164	7044
310	3174	7033
311	3184	7023
312	3195	7013
313	3207	7007
314	3217	6997
315	3229	6989
316	3239	6980
317	3251	6973
318	3261	6963
319	3272	6953
320	3283	6945
321	3294	6935
322	3304	6926
323	3317	6921
324	3327	6911
325	3339	6904
326	3350	6896
327	3363	6891
328	3373	6880
329	3383	6869
330	3394	6859
331	3404	6850
332	3415	6842
333	3428	6837
334	3438	6826
335	3449	6815
336	3459	6806
337	3470	6797
338	3480	6786
339	3490	6776
340	3500	6765
341	3511	6755
342	3522	6746
343	3532	6735
344	3542	6725
345	3552	6715
